  [cell] ipd          nohole:tft        punished=1.00 recovered=1.00 after=0.12
  [cell] ipd          nohole:grim       punished=1.00 recovered=0.00 after=1.00
  [cell] ipd          adaptive          punished=0.16 recovered=0.00 after=1.00
  [cell] ipd          adaptive_recover  punished=0.65 recovered=1.00 after=0.03
  [cell] ipd3         nohole:tft        punished=1.00 recovered=1.00 after=0.33
  [cell] ipd3         nohole:grim       punished=1.00 recovered=0.00 after=1.00
  [cell] ipd3         adaptive          punished=0.78 recovered=0.00 after=1.00
  [cell] ipd3         adaptive_recover  punished=0.97 recovered=0.22 after=0.64
  [cell] staghunt     nohole:tft        punished=1.00 recovered=1.00 after=0.33
  [cell] staghunt     nohole:grim       punished=1.00 recovered=0.00 after=1.00
  [cell] staghunt     adaptive          punished=0.75 recovered=0.00 after=1.00
  [cell] staghunt     adaptive_recover  punished=0.92 recovered=0.14 after=0.70
  [cell] winasmuch    nohole:tft        punished=1.00 recovered=1.00 after=0.12
  [cell] winasmuch    nohole:grim       punished=1.00 recovered=0.00 after=1.00
  [cell] winasmuch    adaptive          punished=0.07 recovered=0.00 after=1.00
  [cell] winasmuch    adaptive_recover  punished=0.38 recovered=1.00 after=0.04
  [cell] trust        nohole:tft        punished=1.00 recovered=0.00 after=0.89
  [cell] trust        nohole:grim       punished=1.00 recovered=0.00 after=0.89
  [cell] trust        adaptive          punished=0.29 recovered=0.17 after=0.85
  [cell] trust        adaptive_recover  punished=0.66 recovered=0.65 after=0.45
  [cell] public_goods nohole:tft        punished=1.00 recovered=1.00 after=0.14
  [cell] public_goods nohole:grim       punished=1.00 recovered=1.00 after=0.14
  [cell] public_goods adaptive          punished=0.12 recovered=1.00 after=0.01
  [cell] public_goods adaptive_recover  punished=0.14 recovered=1.00 after=0.00

probe policy: scripted: exploit 2 decisions, then honest. 120 seeds/cell, dose 1.0.

  env            arm                  punished   recovered  punished_after  ends_punished
  ipd            nohole:tft              1.00        1.00            0.12           0.00
  ipd            nohole:grim             1.00        0.00            1.00           1.00
  ipd            adaptive                0.16        0.00            1.00           1.00
  ipd            adaptive_recover        0.65        1.00            0.03           0.00
  ipd3           nohole:tft              1.00        1.00            0.33           0.00
  ipd3           nohole:grim             1.00        0.00            1.00           1.00
  ipd3           adaptive                0.78        0.00            1.00           1.00
  ipd3           adaptive_recover        0.97        0.22            0.64           0.63
  staghunt       nohole:tft              1.00        1.00            0.33           0.00
  staghunt       nohole:grim             1.00        0.00            1.00           1.00
  staghunt       adaptive                0.75        0.00            1.00           1.00
  staghunt       adaptive_recover        0.92        0.14            0.70           0.70
  winasmuch      nohole:tft              1.00        1.00            0.12           0.00
  winasmuch      nohole:grim             1.00        0.00            1.00           1.00
  winasmuch      adaptive                0.07        0.00            1.00           1.00
  winasmuch      adaptive_recover        0.38        1.00            0.04           0.00
  trust          nohole:tft              1.00        0.00            0.89           1.00
  trust          nohole:grim             1.00        0.00            0.89           1.00
  trust          adaptive                0.29        0.17            0.85           0.83
  trust          adaptive_recover        0.66        0.65            0.45           0.27
  public_goods   nohole:tft              1.00        1.00            0.14           0.00
  public_goods   nohole:grim             1.00        1.00            0.14           0.00
  public_goods   adaptive                0.12        1.00            0.01           0.00
  public_goods   adaptive_recover        0.14        1.00            0.00           0.00

share of episodes still being punished   (t = rounds after the counterpart first punished)
  env            arm                     t+0     t+1     t+2     t+3     t+4     t+5
  ipd            nohole:tft            1.00    1.00    0.00    0.00    0.00    0.00
  ipd            nohole:grim           1.00    1.00    1.00    1.00    1.00    1.00
  ipd            adaptive              1.00    1.00    1.00    1.00    1.00    1.00
  ipd            adaptive_recover      1.00    0.22    0.01    0.00    0.00    0.00
  trust          nohole:tft            1.00    0.33    1.00    1.00    1.00    1.00
  trust          nohole:grim           1.00    0.33    1.00    1.00    1.00    1.00
  trust          adaptive              1.00    0.86    0.86    0.86    0.83    0.83
  trust          adaptive_recover      1.00    0.70    0.49    0.43    0.35    0.27
  public_goods   nohole:tft            1.00    1.00    0.00    0.00    0.00    0.00
  public_goods   nohole:grim           1.00    1.00    0.00    0.00    0.00    0.00
  public_goods   adaptive              1.00    0.07    0.00    0.00    0.00    0.00
  public_goods   adaptive_recover      1.00    0.00    0.00    0.00    0.00    0.00
  ipd3           nohole:tft            1.00    1.00    0.00    0.00     -       -  
  ipd3           nohole:grim           1.00    1.00    1.00    1.00     -       -  
  ipd3           adaptive              1.00    1.00    1.00    1.00     -       -  
  ipd3           adaptive_recover      1.00    0.63    0.66    0.43     -       -  
  staghunt       nohole:tft            1.00    1.00    0.00    0.00     -       -  
  staghunt       nohole:grim           1.00    1.00    1.00    1.00     -       -  
  staghunt       adaptive              1.00    1.00    1.00     -       -       -  
  staghunt       adaptive_recover      1.00    0.71    0.72    0.20     -       -  
  winasmuch      nohole:tft            1.00    1.00    0.00    0.00    0.00    0.00
  winasmuch      nohole:grim           1.00    1.00    1.00    1.00    1.00    1.00
  winasmuch      adaptive              1.00    1.00    1.00    1.00    1.00    1.00
  winasmuch      adaptive_recover      1.00    0.15    0.09    0.02    0.00    0.00

what the counterpart hands over (1.0 = its opening behaviour)   (t = rounds after the counterpart first punished)
  env            arm                     t+0     t+1     t+2     t+3     t+4     t+5
  ipd            nohole:tft            0.00    0.00    1.00    1.00    1.00    1.00
  ipd            nohole:grim           0.00    0.00    0.00    0.00    0.00    0.00
  ipd            adaptive              0.00    0.00    0.00    0.00    0.00    0.00
  ipd            adaptive_recover      0.00    0.78    0.99    1.00    1.00    1.00
  trust          nohole:tft            0.00    0.63    0.00    0.00    0.00    0.00
  trust          nohole:grim           0.00    0.63    0.00    0.00    0.00    0.00
  trust          adaptive              0.01    0.14    0.14    0.14    0.17    0.17
  trust          adaptive_recover      0.01    0.29    0.49    0.55    0.62    0.70
  public_goods   nohole:tft            0.97    0.73    0.55    0.66    0.74    0.81
  public_goods   nohole:grim           0.97    0.73    0.55    0.66    0.74    0.81
  public_goods   adaptive              0.99    0.74    0.79    0.84    0.88    0.91
  public_goods   adaptive_recover      0.97    0.73    0.95    0.98    0.97    0.98
  ipd3           nohole:tft            0.00    0.00    1.00    1.00     -       -  
  ipd3           nohole:grim           0.00    0.00    0.00    0.00     -       -  
  ipd3           adaptive              0.00    0.00    0.00    0.00     -       -  
  ipd3           adaptive_recover      0.00    0.37    0.34    0.57     -       -  
  staghunt       nohole:tft            0.00    0.00    1.00    1.00     -       -  
  staghunt       nohole:grim           0.00    0.00    0.00    0.00     -       -  
  staghunt       adaptive              0.00    0.00    0.00     -       -       -  
  staghunt       adaptive_recover      0.00    0.29    0.28    0.80     -       -  
  winasmuch      nohole:tft            0.00    0.00    1.00    1.00    1.00    1.00
  winasmuch      nohole:grim           0.00    0.00    0.00    0.00    0.00    0.00
